antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ngứa', 'vàng da'})",frozenset({'đau bụng'}),0.06585365853658537,0.2097560975609756,0.06219512195121951,0.9444444444444444,4.502583979328166,1.0,0.048381915526472336,14.224390243902434,0.8327445860850868,0.29142857142857137,0.9296982167352538,0.6204780361757106
"frozenset({'ngứa', 'đau bụng'})",frozenset({'vàng da'}),0.06585365853658537,0.18536585365853658,0.06219512195121951,0.9444444444444444,5.095029239766082,1.0,0.04998810232004759,14.663414634146337,0.8603901090462296,0.32903225806451614,0.9318030605455755,0.639985380116959
frozenset({'ớn lạnh'}),frozenset({'sốt cao'}),0.16219512195121952,0.27682926829268295,0.13414634146341464,0.8270676691729324,2.9876453247656585,1.0,0.08924598453301606,4.181813361611878,0.7940849543469631,0.43999999999999995,0.7608692895814579,0.6558245834851446
"frozenset({'đau đầu', 'ớn lạnh'})",frozenset({'sốt cao'}),0.09024390243902439,0.27682926829268295,0.08658536585365853,0.9594594594594594,3.4658887962852716,1.0,0.06160321237358714,17.83821138211381,0.782048861533814,0.308695652173913,0.943940567886605,0.6361173949279676
"frozenset({'đau đầu', 'mệt mỏi', 'ớn lạnh'})",frozenset({'sốt cao'}),0.06585365853658537,0.27682926829268295,0.06341463414634146,0.9629629629629629,3.4785446239190727,1.0,0.04518441403926234,19.52560975609753,0.7627535649728862,0.22707423580786024,0.9487852101680094,0.5960189264154021
"frozenset({'nôn mửa', 'ớn lạnh'})",frozenset({'sốt cao'}),0.08902439024390243,0.27682926829268295,0.08536585365853659,0.9589041095890413,3.463882686621206,1.0,0.06072129684711482,17.597154471544787,0.7808185121438133,0.3043478260869566,0.9431726304603943,0.6336370768209524
"frozenset({'nôn mửa', 'sốt cao', 'đau đầu'})",frozenset({'ớn lạnh'}),0.06463414634146342,0.16219512195121952,0.06219512195121951,0.9622641509433962,5.932756419350262,1.0,0.05171177870315288,22.201829268292688,0.8888974103331033,0.37777777777777777,0.9549586663370959,0.6728613987799688
"frozenset({'nôn mửa', 'ớn lạnh', 'đau đầu'})",frozenset({'sốt cao'}),0.06463414634146342,0.27682926829268295,0.06219512195121951,0.9622641509433962,3.476020280940902,1.0,0.04430249851279,19.164024390243906,0.7615359051051972,0.22270742358078602,0.9478188933787267,0.5934668772338126
"frozenset({'nôn mửa', 'mệt mỏi', 'ớn lạnh'})",frozenset({'sốt cao'}),0.06463414634146342,0.27682926829268295,0.06219512195121951,0.9622641509433962,3.476020280940902,1.0,0.04430249851279,19.164024390243906,0.7615359051051972,0.22270742358078602,0.9478188933787267,0.5934668772338126
"frozenset({'buồn nôn', 'ớn lạnh'})",frozenset({'đau đầu'}),0.06829268292682927,0.2304878048780488,0.06585365853658537,0.9642857142857143,4.183673469387755,1.0,0.05011302795954789,21.546341463414645,0.8167539267015707,0.2827225130890052,0.9535884084220059,0.625
"frozenset({'buồn nôn', 'ớn lạnh'})",frozenset({'sốt cao'}),0.06829268292682927,0.27682926829268295,0.06585365853658537,0.9642857142857143,3.4833228445563247,1.0,0.04694824509220702,20.248780487804886,0.7651735505138646,0.23580786026200873,0.9506143098048663,0.6010855884203902
"frozenset({'buồn nôn', 'ớn lạnh'})",frozenset({'nôn mửa'}),0.06829268292682927,0.38902439024390245,0.06463414634146342,0.9464285714285714,2.4328257948947605,1.0,0.038066627007733486,11.40487804878048,0.6321248641707004,0.16459627329192547,0.9123182207014542,0.5562863860277654
"frozenset({'buồn nôn', 'sốt cao', 'ớn lạnh'})",frozenset({'đau đầu'}),0.06585365853658537,0.2304878048780488,0.06341463414634146,0.9629629629629629,4.177934548304918,1.0,0.048236168947055326,20.776829268292655,0.8142699337216309,0.2722513089005235,0.9518694605857838,0.6190476190476191
"frozenset({'đau đầu', 'buồn nôn', 'ớn lạnh'})",frozenset({'sốt cao'}),0.06585365853658537,0.27682926829268295,0.06341463414634146,0.9629629629629629,3.4785446239190727,1.0,0.04518441403926234,19.52560975609753,0.7627535649728862,0.22707423580786024,0.9487852101680094,0.5960189264154021
"frozenset({'đau đầu', 'sốt cao', 'buồn nôn'})",frozenset({'ớn lạnh'}),0.06585365853658537,0.16219512195121952,0.06341463414634146,0.9629629629629629,5.937064884433305,1.0,0.05273349196906603,22.620731707317038,0.8901887929303073,0.3851851851851852,0.9557927651086311,0.6769702032859928
"frozenset({'buồn nôn', 'ớn lạnh'})","frozenset({'đau đầu', 'sốt cao'})",0.06829268292682927,0.11219512195121951,0.06341463414634146,0.9285714285714285,8.276397515527949,1.0,0.05575252825698988,12.429268292682913,0.9436165928312525,0.5416666666666667,0.9195447409733123,0.7468944099378881
"frozenset({'nôn mửa', 'buồn nôn', 'ớn lạnh'})",frozenset({'sốt cao'}),0.06463414634146342,0.27682926829268295,0.06219512195121951,0.9622641509433962,3.476020280940902,1.0,0.04430249851279,19.164024390243906,0.7615359051051972,0.22270742358078602,0.9478188933787267,0.5934668772338126
"frozenset({'buồn nôn', 'sốt cao', 'ớn lạnh'})",frozenset({'nôn mửa'}),0.06585365853658537,0.38902439024390245,0.06219512195121951,0.9444444444444444,2.427725531173807,1.0,0.036576442593694226,10.997560975609751,0.6295499923206881,0.15838509316770186,0.9090707473941007,0.5521595262974573
"frozenset({'buồn nôn', 'ớn lạnh'})","frozenset({'nôn mửa', 'sốt cao'})",0.06829268292682927,0.1329268292682927,0.06219512195121951,0.9107142857142856,6.851245085190038,1.0,0.05311719214753123,9.711219512195107,0.9166410019505185,0.4473684210526315,0.8970263210769538,0.6893020969855832
"frozenset({'nôn mửa', 'buồn nôn', 'ớn lạnh'})",frozenset({'đau đầu'}),0.06463414634146342,0.2304878048780488,0.06219512195121951,0.9622641509433962,4.174902665468703,1.0,0.04729773944080904,20.392073170731713,0.8130224710483933,0.26701570680628267,0.95096133720061,0.616052710392333
"frozenset({'nôn mửa', 'ớn lạnh', 'đau đầu'})",frozenset({'buồn nôn'}),0.06463414634146342,0.2329268292682927,0.06219512195121951,0.9622641509433962,4.131186407191544,1.0,0.04714009518143962,20.327439024390248,0.8103126517882251,0.2642487046632124,0.9508054114047455,0.6146399288748394
"frozenset({'đau đầu', 'buồn nôn', 'ớn lạnh'})",frozenset({'nôn mửa'}),0.06585365853658537,0.38902439024390245,0.06219512195121951,0.9444444444444444,2.427725531173807,1.0,0.036576442593694226,10.997560975609751,0.6295499923206881,0.15838509316770186,0.9090707473941007,0.5521595262974573
"frozenset({'buồn nôn', 'ớn lạnh'})","frozenset({'nôn mửa', 'đau đầu'})",0.06829268292682927,0.13048780487804879,0.06219512195121951,0.9107142857142856,6.979305740987983,1.0,0.05328375966686496,9.73853658536584,0.9195154501591212,0.4553571428571428,0.8973151673011419,0.6936748998664886
"frozenset({'nôn mửa', 'ớn lạnh', 'sốt cao', 'buồn nôn'})",frozenset({'đau đầu'}),0.06219512195121951,0.2304878048780488,0.05975609756097561,0.9607843137254901,4.168482207697894,1.0,0.045420880428316476,19.622560975609716,0.8105145829463125,0.256544502617801,0.9490382523849475,0.6100217864923747
"frozenset({'nôn mửa', 'sốt cao', 'buồn nôn', 'đau đầu'})",frozenset({'ớn lạnh'}),0.06219512195121951,0.16219512195121952,0.05975609756097561,0.9607843137254901,5.923632610939112,1.0,0.04966835217132659,21.364024390243856,0.8863087497677875,0.36296296296296293,0.9531923395267858,0.6646026831785345
"frozenset({'ớn lạnh', 'sốt cao', 'buồn nôn', 'đau đầu'})",frozenset({'nôn mửa'}),0.06341463414634146,0.38902439024390245,0.05975609756097561,0.9423076923076923,2.4222329394743185,1.0,0.03508625817965497,10.59024390243902,0.6269132653061226,0.15217391304347824,0.9055734684477199,0.5479563539908368
"frozenset({'nôn mửa', 'sốt cao', 'ớn lạnh', 'đau đầu'})",frozenset({'buồn nôn'}),0.06219512195121951,0.2329268292682927,0.05975609756097561,0.9607843137254901,4.1248331793450355,1.0,0.045269185008923254,19.560365853658496,0.8078076484169741,0.25388601036269426,0.9488762118519903,0.6086644081716456
"frozenset({'nôn mửa', 'ớn lạnh', 'buồn nôn', 'đau đầu'})",frozenset({'sốt cao'}),0.06219512195121951,0.27682926829268295,0.05975609756097561,0.9607843137254901,3.4706746134577173,1.0,0.04253866745984533,18.440853658536547,0.7590828268888831,0.21397379912663753,0.94577257547201,0.5883216722812472
"frozenset({'ớn lạnh', 'sốt cao', 'buồn nôn'})","frozenset({'nôn mửa', 'đau đầu'})",0.06585365853658537,0.13048780487804879,0.05975609756097561,0.9074074074074073,6.953963309103496,1.0,0.051162998215348005,9.390731707317066,0.9165556562050408,0.43749999999999994,0.8935120253493324,0.682675666320526
"frozenset({'đau đầu', 'sốt cao', 'buồn nôn'})","frozenset({'nôn mửa', 'ớn lạnh'})",0.06585365853658537,0.08902439024390243,0.05975609756097561,0.9074074074074073,10.192795535261288,1.0,0.053893515764425935,9.838536585365846,0.9654713060158789,0.6282051282051282,0.8983588675690415,0.7893201420598681
"frozenset({'nôn mửa', 'sốt cao', 'đau đầu'})","frozenset({'ớn lạnh', 'buồn nôn'})",0.06463414634146342,0.06829268292682927,0.05975609756097561,0.9245283018867924,13.5377358490566,1.0,0.055342058298631765,12.345121951219497,0.9901285155522445,0.8166666666666665,0.9189963449570285,0.8997641509433961
"frozenset({'nôn mửa', 'ớn lạnh', 'buồn nôn'})","frozenset({'đau đầu', 'sốt cao'})",0.06463414634146342,0.11219512195121951,0.05975609756097561,0.9245283018867924,8.240360951599671,1.0,0.05250446162998215,11.763414634146327,0.9393608812495012,0.5104166666666666,0.9149906697076508,0.7285684987694832
"frozenset({'ớn lạnh', 'buồn nôn', 'đau đầu'})","frozenset({'nôn mửa', 'sốt cao'})",0.06585365853658537,0.1329268292682927,0.05975609756097561,0.9074074074074073,6.826367652055724,1.0,0.051002379535990475,9.364390243902431,0.9136782650396973,0.4298245614035087,0.893212481116841,0.6784743459055385
"frozenset({'nôn mửa', 'ớn lạnh', 'đau đầu'})","frozenset({'sốt cao', 'buồn nôn'})",0.06463414634146342,0.09024390243902439,0.05975609756097561,0.9245283018867924,10.244773074961753,1.0,0.053923259964306955,12.054268292682913,0.9647446984008727,0.6282051282051282,0.9170418331731498,0.7933452320244773
"frozenset({'ớn lạnh', 'buồn nôn'})","frozenset({'nôn mửa', 'sốt cao', 'đau đầu'})",0.06829268292682927,0.06463414634146342,0.05975609756097561,0.8749999999999999,13.537735849056602,1.0,0.055342058298631765,7.482926829268286,0.9940164547494391,0.8166666666666665,0.8663624511082139,0.8997641509433961
"frozenset({'mệt mỏi', 'ớn lạnh'})",frozenset({'sốt cao'}),0.11219512195121951,0.27682926829268295,0.1073170731707317,0.9565217391304347,3.4552767669028914,1.0,0.07625817965496728,16.63292682926826,0.8003871128871128,0.38095238095238093,0.9398782901972285,0.6720934686841601
"frozenset({'khó chịu', 'đau ngực'})",frozenset({'ớn lạnh'}),0.07073170731707316,0.16219512195121952,0.06707317073170732,0.9482758620689656,5.84651283380866,1.0,0.055600832837596675,16.197560975609793,0.8920544022906227,0.4044117647058824,0.9382623098930886,0.6809048483277159
"frozenset({'đau ngực', 'ớn lạnh'})",frozenset({'khó chịu'}),0.06951219512195123,0.14268292682926828,0.06707317073170732,0.9649122807017544,6.762633078422553,1.0,0.057154967281380135,24.433536585365854,0.9157869653282499,0.4621848739495799,0.9590726460532555,0.7174988753936122
"frozenset({'khó chịu', 'đau ngực'})",frozenset({'sốt cao'}),0.07073170731707316,0.27682926829268295,0.06707317073170732,0.9482758620689656,3.425489898222695,1.0,0.04749256395002975,13.981300813008161,0.7619661178716297,0.23913043478260868,0.9284758969587721,0.595283305483822
"frozenset({'đau ngực', 'sốt cao'})",frozenset({'khó chịu'}),0.06951219512195123,0.14268292682926828,0.06707317073170732,0.9649122807017544,6.762633078422553,1.0,0.057154967281380135,24.433536585365854,0.9157869653282499,0.4621848739495799,0.9590726460532555,0.7174988753936122
"frozenset({'đau ngực', 'sốt cao'})",frozenset({'ớn lạnh'}),0.06951219512195123,0.16219512195121952,0.06585365853658537,0.9473684210526315,5.840918084685397,1.0,0.05457911957168352,15.918292682926813,0.8907091888743265,0.39705882352941174,0.9371791925227916,0.6766917293233082
"frozenset({'đau ngực', 'ớn lạnh'})",frozenset({'sốt cao'}),0.06951219512195123,0.27682926829268295,0.06585365853658537,0.9473684210526315,3.422211917458845,1.0,0.0466106484235574,13.74024390243901,0.7606669579146643,0.23478260869565215,0.9272210881334871,0.5926269418038488
"frozenset({'khó chịu', 'đau ngực', 'sốt cao'})",frozenset({'ớn lạnh'}),0.06707317073170732,0.16219512195121952,0.06341463414634146,0.9454545454545454,5.829118250170882,1.0,0.05253569303985723,15.35975609756097,0.8880090497737557,0.38235294117647056,0.9348947995236204,0.668215994531784
